rank,label,score,score_error
90,Marton_Fucsovics,0.7484036497717725,0.0021430958632938308
91,Nicolas_Mahut,0.7432315530586636,0.0016889505713934693
92,Liang_Chi_Huang,0.7402922497531126,0.008029386286952269
93,Jan_Lennard_Struff,0.7388131805860604,0.0015841916069775214
94,Hubert_Hurkacz,0.7311604341471061,0.0029594684342879036
95,Philipp_Petzschner,0.729021608899571,0.002274168050930642
96,Damir_Dzumhur,0.7238309036020512,0.0016825104401458108
97,Adrian_Mannarino,0.7229424967084872,0.0013527788648487347
98,Pierre_Hugues_Herbert,0.7210483463488015,0.0019299251076917523
99,Jan_Hernych,0.7174509384887265,0.004491998192541981
100,Marcel_Granollers,0.7168277178090777,0.0013927189017248131
101,Ivan_Dodig,0.7151495646337641,0.0016813017161439
102,Nicolas_Alvarez,0.7149923584935143,0.007882589090218033
